Manufacturer,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS,AIRBUS
Type,A300-,A310-,A319-,A320-,A321-,A330-,A330-,A340-,A340-,A340-,A340-,A3XX-
Model,600R,300,100,200,200,200,300,200,300,500,600,100
Initial service date,1974,1983,1995,1988,1993,1998,1994,1993,1994,2002,2002,2004
In service (ordered),,,,,,,,,,,,
Africa,28,11,2(1),27(6),4,--->,-,--->,8(1),--->,(2),-
Middle East/Asia/Pacific,205(5),69(5),(4),162(47),17(32),--->,59(47),--->,54(10),--->,(6),-
Europe & CIS,83,87(1),48(82),244(105),84(68),--->,17(42),--->,69(15),--->,(27),-
North & South America,72(37),57,57(264),237(146),-,--->,4(42),--->,9(8),--->,(5),-
Total aircraft,388(42),224(6),107(351),670(304),105(102),--->,80(131),--->,140(34),--->,(40),-
Engine Manufacturer,P&W,P&W,CFMI,CFMI,CFMI,GE,GE,CFMI,CFMI,R-R,R-R,R-R/GE/PW
Model / Type,4158,4152,CFM56-5A4,CFM56-5A3,CFM56-5B3,CF6-80E1A4,CF6-80E1A2,CFM-56-5C2,CFM-56-5C4,Trent 553,Trent 556,Options
No. of engines,2,2,2,2,2,2,2,4,4,4,4,4
Static thrust (kN),257.0,231.0,99.7,111.2,142.0,310.0,300.0,139.0,151.0,235.8,249.1,294.0
Operational Items:,,,,,,,,,,,,
Accomodation:,,,,,,,,,,,,
Max. seats (single class),375,280,153,179,220,380,440,440,440,440,475,850
Two class seating,266,218,124,150,186,293,335,303,335,350,440,
Three class seating,228,187,-,-,-,253,295,262,295,313,380,555
No. abreast,9,9,6,6,6,9,9,9,9,9,9,10+8
Hold volume (m?),116.00,79.90,27.00,38.76,51.76,136.00,162.90,136.00,162.90,134.10,187.74,
Volume per passenger,0.31,0.29,0.18,0.22,0.24,0.36,0.37,0.31,0.37,0.30,0.40,
Mass (Weight) (kg):,,,,,,,,,,,,
Ramp,171400,150900,64400,73900,89400,230900,217900,257900,271900,365900,365900,540900
Max. take-off,170500,150000,64000,73500,89000,230000,217000,257000,271000,365000,365000,540000
Max. landing,140000,123000,61000,64500,73500,177150,179000,181000,190000,236000,254000,381000
Zero-fuel,130000,113000,57000,60500,71500,165142,169000,172000,178000,222000,240000,356000
Max. payload,41100,33300,17390,19190,22780,36400,48400,49400,48150,51635,63000,85000
Max. fuel payload,27100,21500,5360,13500,19060,0,18600,21220,33160,31450,29311,15400
Design payload,25270,20710,11780,14250,17670,24035,28025,24890,28025,29735,36100,52725
Design fuel load,56330,49624,13020,17940,23330,85765,70786,111882,113125,164875,151890,216275
Operational empty,88900,79666,39200,41310,48000,120200,118189,120228,129850,170390,177010,271000
Weight Ratios:,,,,,,,,,,,,
Ops empty/Max. T/O,0.521,0.531,0.613,0.562,0.539,0.523,0.545,0.468,0.479,0.467,0.485,0.502
Max. payload/Max. T/O,0.241,0.222,0.272,0.261,0.256,0.158,0.223,0.192,0.178,0.141,0.173,0.157
Max. fuel/Max. T/O,0.316,0.322,0.295,0.256,0.210,0.478,0.358,0.430,0.412,0.423,0.423,0.464
Max. landing/Max. T/O,0.821,0.820,0.953,0.878,0.826,0.770,0.825,0.704,0.701,0.647,0.696,0.706
Fuel (litres):,,,,,,,,,,,,
Standard,68150,61100,23860,23860,23700,139090,98250,140000,141500,195620,195620,317000
Optional,75350,68300,,,26600,,,,148700,213120,,
Area (mý),260.00,219.00,122.40,122.40,122.40,363.10,363.10,363.10,363.10,437.30,437.30,817.00
Span (m),44.84,43.89,33.91,33.91,33.91,58.00,58.00,58.00,58.00,61.20,61.20,79.80
MAC (m),6.44,5.89,4.29,4.29,4.29,7.26,7.26,7.26,7.26,8.35,8.35,12.02
Aspect Ratio,7.73,8.80,9.39,9.39,9.39,9.26,9.26,9.26,9.26,8.56,8.56,7.79
Taper Ratio,0.300,0.283,0.240,0.240,0.240,0.251,0.251,0.251,0.251,0.220,0.220,0.213
Average (t/c) %,10.50,11.80,,,,,,,,,,
1/4 Chord Sweep (§),28.00,28.00,25.00,25.00,25.00,29.70,29.70,29.70,29.70,31.10,31.10,30.00
High Lift Devices:,,,,,,,,,,,,
Trailing Edge Flaps Type,F2,F1,F1,F1,F2,S2,S2,S2,S2,S2,S2,S2
Flap Span/Wing Span,0.800,0.840,0.780,0.780,0.780,0.665,0.665,0.665,0.665,0.625,0.625,0.737
Area (m2),47.3,36.68,21.1,21.1,21.1,,,,,,,
Leading Edge Flaps Type,slats,slats,slats,slats,slats,slats,slats,slats,slats,slats,slats,slats
Area (mý),30.3,28.54,12.64,12.64,12.64,,,,,,,
Vertical Tail:,,,,,,,,,,,,
Area (mý),45.20,45.20,21.50,21.50,21.50,47.65,45.20,45.20,45.20,47.65,47.65,134.20
Height (m),8.60,8.10,6.26,6.26,6.26,9.44,8.45,8.45,8.45,9.44,9.44,13.66
Aspect Ratio,1.64,1.45,1.82,1.82,1.82,1.87,1.58,1.58,1.58,1.87,1.87,1.39
Taper Ratio,0.365,0.395,0.303,0.303,0.303,0.350,0.350,0.350,0.350,0.350,0.350,0.424
1/4 Chord Sweep (§),40.00,40.00,34.00,34.00,34.00,45.00,45.00,45.00,45.00,45.00,45.00,
Tail Arm (m),24.90,20.20,10.67,12.53,15.20,25.20,27.50,25.50,27.50,27.50,27.50,28.99
Sv/S,0.174,0.206,0.176,0.176,0.176,0.131,0.124,0.124,0.124,0.109,0.109,0.164
SvLv/Sb,0.097,0.095,0.055,0.065,0.079,0.057,0.059,0.055,0.059,0.049,0.049,0.060
Horizontal Tail:,,,,,,,,,,,,
Area (mý),69.45,64.00,31.00,31.00,31.00,31.00,72.90,72.90,72.90,93.00,93.00,222.57
Span (m),16.26,16.26,12.45,12.45,12.45,12.45,19.06,19.06,19.06,21.50,21.50,31.29
Aspect Ratio,3.81,4.13,5.00,5.00,5.00,5.00,4.98,4.98,4.98,4.97,4.97,4.40
Taper Ratio,0.420,0.417,0.256,0.256,0.256,0.256,0.360,0.360,0.360,0.360,0.360,0.383
1/4 Chord Sweep (§),34.00,34.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,30.00,
Tail Arm  (m),25.60,22.50,11.67,13.53,16.20,16.20,28.60,26.50,28.60,28.60,28.60,31.29
Sh/S,0.267,0.292,0.253,0.253,0.253,0.253,0.201,0.201,0.201,0.213,0.213,0.272
ShLh/Sc,1.062,1.116,0.689,0.799,0.957,0.957,0.791,0.733,0.791,0.729,0.729,0.709
Undercarriage:,,,,,,,,,,,,
Track (m),9.60,9.60,7.60,7.60,7.60,7.60,10.70,10.70,10.70,10.70,10.70,13.47
Wheelbase (m),18.60,15.21,12.60,12.63,16.90,16.90,25.40,23.20,25.40,28.53,32.50,27.60
Turning radius (m),34.00,31.40,20.60,21.90,29.00,29.00,41.40,,40.60,,,
No. of wheels (nose;main),2;8,2;8,2;4,2;4,2;4,2;8,2;8,2;10,2;10,2;12,2;12,2;22
Main Wheel diameter (m),1.245,1.168,1.143,1.143,1.270,,,,,,,
Main Wheel width (m),0.483,0.406,0.406,0.406,0.455,,,,,,,
Nacelle:,,,,,,,,,,,,
Length (m),6.70,6.30,4.44,4.44,4.44,7.00,7.00,4.95,4.95,6.10,6.10,7.30
Max. width (m),2.70,2.70,2.37,2.37,2.37,3.10,3.10,2.37,2.37,3.05,3.05,3.20
Spanwise location,0.359,0.352,0.338,0.338,0.338,0.312,0.312,0.312/0.672,0.312/0.672,0.296/0.625,0.296/0.625,0.348/0.678
,,,,,,,,,,,,
PERFORMANCE,,,,,,,,,,,,
Loadings:,,,,,,,,,,,,
Max. power load (kg/kN),331.71,324.68,320.96,330.49,313.38,370.97,361.67,462.23,448.68,386.98,366.32,459.18
Max. wing load (kg/m2),655.77,684.93,522.88,600.49,727.12,633.43,597.63,707.79,746.35,834.67,834.67,660.95
Thrust/Weight Ratio,0.3073,0.3140,0.3176,0.3084,0.3253,0.2748,0.2819,0.2205,0.2272,0.2634,0.2783,0.2220
Take-off (m):,,,,,,,,,,,,
ISA sea level,2280,2290,1750,2180,2000,2470,2320,2790,3000,3100,3100,
ISA +20§C SL.,3189,2450,2080,2590,2286,2590,2680,3260,3380,3550,3550,3350
ISA 5000ft,,2950,2360,2950,3269,3900,3840,4320,4298,4250,4250,
ISA +20§C 5000ft,,3660,2870,4390,,,,,,,,
Landing (m):,,,,,,,,,,,,
ISA sea level.,1489,1490,1350,1440,1580,1750,1600,1856,1964,2090,2240,
ISA +20§C SL.,1489,1490,1350,1440,1580,1750,1600,1856,1964,2090,2240,
ISA 5000ft,1701,1686,1530,1645,1795,1970,1920,2094,2227,2390,,
ISA +20§C 5000ft,1701,1686,1530,1645,1795,1970,1920,2094,2227,2390,,
Speeds (kt/Mach):,,,,,,,,,,,,
V2,153,156,133,143,143,158,144,154,158,,,
Vapp,136,138,131,134,138,135,136,134,136,139,144,<150
Vno/Mmo,335/M0.82,360/M0.84,381/M0.89,350/M0.82,350/M0.82,330/M0.86,330/M0.86,330/M0.86,330/M0.86,330/M0.86,330/M0.86,
Vne/Mme,395/M0.88,420/M0.90,350/M0.82,381/M0.89,TBD/M0.89,365/M0.93,365/M0.93,365/M0.93,365/M0.93,365/M0.93,365/M0.93,
CLmax (T/O),2.44,2.45,2.58,2.56,3.10,2.21,2.51,2.60,2.61,,,
CLmax (L/D @ MLM),2.98,3.02,2.97,3.00,3.23,2.74,2.73,2.84,2.89,2.86,2.87,
Max. cruise :,,,,,,,,,,,,
Speed (kt),480,484,487,487,487,,500,500,500,,,507
Altitude (ft),31000,35000,33000,28000,28000,,33000,33000,33000,,,35000
Fuel consumption (kg/h),5120,4690,3160,3200,3550,,5000,7180,7300,,,
Long range cruise:,,,,,,,,,,,,
Speed (kt),456,458,446,448,450,470,465,475,475,,,
Altitude (ft),35000,37000,37000,37000,37000,39000,39000,39000,39000,,,
Fuel consumption (kg/h),4300,3730,1980,2100,2100,,4700,5400,5700,,,
Range (nm):,,,,,,,,,,,,
Max. payload,3283,3645,1355,637,1955,4210,3888,6393,6371,7050,5700,6200
Design range,4000,4300,1900,2700,2700,6370,4500,7350,7150,8500,7500,7650
Max. fuel (+ payload),4698,5076,4158,3672,2602,,7046,8834,8089,9000,7800,-
Ferry range,,,,,,,,,,9800,8800,10300
Design Parameters:,,,,,,,,,,,,
W/SCLmax,2160.21,2227.23,1726.69,1962.27,2211.48,2269.21,2150.33,2445.04,2529.97,2865.71,2857.63,
W/SCLtoST,2678.25,2702.77,2071.39,2423.85,2590.29,3146.34,2906.75,4224.13,4242.69,4144.91,3912.54,
Fuel/pax/nm (kg),0.0529,0.0529,0.0553,0.0443,0.0465,0.0460,0.0470,0.0502,0.0472,0.0554,0.0460,
Seats x Range (seats.nm),1064000,937400,235600,405000,502200,1866410,1507500,2227050,2395250,2975000,3300000,
